,Name,Wins,Losses,Link,Age,Weight(lbs),Height(cm),Reach(cm)
98,Cody Stamann,18,2,https://en.wikipedia.org/wiki/Cody_Stamann,33,135,173,175
99,Rob Font,17,4,https://en.wikipedia.org/wiki/Rob_Font,34,135,173,168
100,Dominick Cruz,22,3,https://en.wikipedia.org/wiki/Dominick_Cruz,35,145,160,170
101,John Dodson,22,11,https://en.wikipedia.org/wiki/John_Dodson_(fighter),22,135,173,183
102,Song Yadong,16,4,https://en.wikipedia.org/wiki/Song_Yadong,25,135,180,173
103,Sean O'Malley,12,0,https://en.wikipedia.org/wiki/Sean_O%27Malley_(fighter),29,135,168,165
104,Merab Dvalishvili,11,4,https://en.wikipedia.org/wiki/Merab_Dvalishvili,35,135,163,178
105,Joseph Benavidez,28,6,https://en.wikipedia.org/wiki/Joseph_Benavidez,26,135,170,173
106,Brandon Moreno,17,5,https://en.wikipedia.org/wiki/Brandon_Moreno,30,135,165,165
107,Alexandre Pantoja,22,4,https://en.wikipedia.org/wiki/Alexandre_Pantoja,28,125,168,170
108,Alex Perez,24,5,https://en.wikipedia.org/wiki/Alex_Perez_(fighter),35,125,165,170
109,Jussier Formiga,23,7,https://en.wikipedia.org/wiki/Jussier_Formiga,27,125,168,170
110,Askar Askarov,12,0,https://en.wikipedia.org/wiki/Askar_Askarov,27,123,163,184
111,Kai Kara-France,21,8,https://en.wikipedia.org/wiki/Kai_Kara-France,28,125,165,196
112,Rogério Bontorin,16,2,https://en.wikipedia.org/wiki/Rog%C3%A9rio_Bontorin,30,125,173,175
113,Matt Schnell,14,5,https://en.wikipedia.org/wiki/Matt_Schnell_(fighter),27,125,191,177
114,Brandon Royval,11,4,https://en.wikipedia.org/wiki/Brandon_Royval,24,123,173,170
115,Raulian Paiva,20,3,https://en.wikipedia.org/wiki/Raulian_Paiva,33,125,170,175
116,Tim Elliott,15,10,https://en.wikipedia.org/wiki/Tim_Elliott,30,155,170,203
117,Jordan Espinosa,14,7,https://en.wikipedia.org/wiki/Jordan_Espinosa,37,124,193,215
118,David Dvořák,18,3,https://en.wikipedia.org/w/index.php?title=David_Dvo%C5%99%C3%A1k&action=edit&redlink=1,33,125,193,203
119,Stipe Miocic,19,3,https://en.wikipedia.org/wiki/Stipe_Miocic,31,125,193,193
120,Jon Jones,26,1,https://en.wikipedia.org/wiki/Jon_Jones,33,230,183,178
121,Israel Adesanya,19,0,https://en.wikipedia.org/wiki/Israel_Adesanya,31,205,178,182
122,Kamaru Usman,17,1,https://en.wikipedia.org/wiki/Kamaru_Usman,31,184,168,170
123,Khabib Nurmagomedov,28,0,https://en.wikipedia.org/wiki/Khabib_Nurmagomedov,27,170,170,173
