Names,Category,Time_Open,Link,Rating
Գարեջրի Ակադեմիա,Եվրոպական,12:00 - 22:30,https://www.menu.am/restaurant/beer-academy.html,2.7
Քոֆի Հաուս,Սուրճ և Թեյ,09:00 - 20:00,https://www.menu.am/restaurant/coffee-house.html,0
Լիմոնե,Իտալական,11:00 - 23:30,https://www.menu.am/restaurant/limone.html,2.7
Կաֆե Եգեր,Գերմանական,11:00 - 00:00,https://www.menu.am/restaurant/cafe-jager.html,0
Ֆուրշետ Բուֆետ,"Լանչ, Նախաճաշ",11:00 - 19:30,https://www.menu.am/restaurant/fourchette-buffet.html,3.2
Էքսպրես Պանդա,"Չինական, Ասիական",10:30 - 23:30,https://www.menu.am/restaurant/express-panda.html,3
Սթեյքի Շաուրմա,Հայկական,09:30 - 23:00,https://www.menu.am/restaurant/steak-shawarma.html,0
Արև Յոգա Նվեր Քարտ,ՆՎԵՐ ՔԱՐՏԵՐ,10:30 - 20:00,https://www.menu.am/restaurant/arev-yoga-gift-card.html,0
Դե լա Ռոզ,Ծաղիկներ և Փուչիկներ,10:00 - 00:00,https://www.menu.am/restaurant/de-la-rose.html,3
Կակտուս,Մեքսիկական,10:00 - 00:00,https://www.menu.am/restaurant/cactus.html,4.6
Պասիֆլորա,Ծաղիկներ և Փուչիկներ,24 ժամ,https://www.menu.am/restaurant/pasion-flower.html,3.3
Մոն Ամի,Ծաղիկներ և Փուչիկներ,24 ժամ,https://www.menu.am/restaurant/mon-amie.html,5
Պռոշյանի Կոնյակի Գործարան,"Գաստրոնոմ, Ըմպելիքներ և Խորտիկներ",10:00 - 22:30,https://www.menu.am/restaurant/proshyan-brandy-factory.html,5
Բոնիտո,"Քաղցրավենիք, Եվրոպական",09:00 - 18:00,https://www.menu.am/restaurant/bonito.html,4.9
Ֆլաուեր Մարկետ,Ծաղիկներ և Փուչիկներ,24 ժամ,https://www.menu.am/restaurant/flower-market.html,4.4
Ապարան Ջուր,Ըմպելիքներ և Խորտիկներ,12:00 - 17:00,https://www.menu.am/restaurant/aparan-water.html,5
Գրանդ Փըթեյթո Երևան մոլլ,Եվրոպական,12:00 - 22:00,https://www.menu.am/restaurant/grand-potato.html,5
Պաուլաներ,"Գերմանական, Եվրոպական",11:00 - 23:45,https://www.menu.am/restaurant/paulaner.html,3
Արևելյան Խոհանոց,Արևելյան,24 ժամ,https://www.menu.am/restaurant/eastern-cuisine.html,4.3
Լագոնիտ,Արևելյան,10:00 - 23:00,https://www.menu.am/restaurant/lagonid.html,4.6
Մալօկկօ թխվածք և ավելին,Քաղցրավենիք,11:00 - 00:30,https://www.menu.am/restaurant/malocco-pastry-and-more.html,4.7
Փարթիտտո,Ծաղիկներ և Փուչիկներ,09:30 - 21:00,https://www.menu.am/restaurant/partytto.html,4.9
Դերյան Ռեստորան,Արևելյան,12:00 - 21:00,https://www.menu.am/restaurant/derian-kebab-byuzand.html,0
Մալօկկօ Կաֆե,Եվրոպական,10:00 - 23:30,https://www.menu.am/restaurant/malocco-cafe-tamanyan.html,4.3
Չարենցի 28,"Արևելյան, Եվրոպական",12:00 - 23:00,https://www.menu.am/restaurant/charentsi_28.html,4.5
Ժակո,Արևելյան,11:15 - 23:30,https://www.menu.am/restaurant/jaco.html,3.9
Պիցցա Դի Ռոմա,"Եվրոպական, Իտալական",10:30 - 00:00,https://www.menu.am/restaurant/pizza-di-roma.html,4.3
Աբու Հակոբ Պուշկին,Արևելյան,11:00 - 03:00,https://www.menu.am/restaurant/abu-hagop-pushkin.html,4.6
Պեկին Կասկադ,"Չինական, Ասիական",12:00 - 21:00,https://www.menu.am/restaurant/beijing-cascade.html,4
Հալապենո Երևան մոլլ,Մեքսիկական,12:00 - 21:00,https://www.menu.am/restaurant/jalapeno.html,3.3
Քոֆիշոփ Քոմփնի,"Եվրոպական, Սուրճ և Թեյ",08:00 - 02:00,https://www.menu.am/restaurant/coffeeshop.html,3.2
Դոկա Պիցցա ,"Պիցցա, Եվրոպական, Իտալական",24 ժամ,https://www.menu.am/restaurant/doka-pizza.html,3.9
Պանացեա,"Գաստրոնոմ, Ըմպելիքներ և Խորտիկներ",11:00 - 22:00,https://www.menu.am/restaurant/panatsea.html,5
Գրին Դեյ,"Քաղցրավենիք, Գաստրոնոմ, Ըմպելիքներ և Խորտիկներ, Սուրճ և Թեյ",10:00 - 17:00,https://www.menu.am/restaurant/green-day.html,5
Չոկո,"Ծաղիկներ և Փուչիկներ, Քաղցրավենիք",10:00 - 18:30,https://www.menu.am/restaurant/choco.html,5
Ֆեյսֆուդ,"Արևելյան, Եվրոպական",11:00 - 21:00,https://www.menu.am/restaurant/facefood.html,4.6
Արարատ Վյու Գարդեն,Հայկական,11:00 - 23:30,https://www.menu.am/restaurant/ararat-view-garden.html,4.5
Ջուվենա Ֆլաուերս,Ծաղիկներ և Փուչիկներ,09:00 - 21:00,https://www.menu.am/restaurant/juwena-flowers.html,3
Լա Ֆլյուր,"Ծաղիկներ և Փուչիկներ, Եվրոպական",09:00 - 00:00,https://www.menu.am/restaurant/la-fleur.html,4
Մեծ Բուրգ,Հայկական,10:00 - 00:00,https://www.menu.am/restaurant/mets-burg.html,5
Մասիվի Լահմաջո,"Լահմաջո, Կարկանդակ",11:00 - 23:59,https://www.menu.am/restaurant/masivi-lahmajo.html,4.6
Աչաջուր,"Եվրոպական, Ֆրանսիական",10:00 - 22:00,https://www.menu.am/restaurant/achajour.html,1.3
Մամ,Արտադրված է Հայաստանում,09:00 - 00:00,https://www.menu.am/restaurant/mam.html,0
Թայմ Դալմա Գարդեն մոլ,ՆՎԵՐ ՔԱՐՏԵՐ,12:00 - 22:00,https://www.menu.am/restaurant/time-gift-card.html,5
Պանդորա Դալմա Մոլլ,ՆՎԵՐ ՔԱՐՏԵՐ,12:00 - 22:00,https://www.menu.am/restaurant/pandora-gift-card.html,0
Սիամուդս,ՆՎԵՐ ՔԱՐՏԵՐ,12:00 - 22:00,https://www.menu.am/restaurant/siamoods-gift-card.html,0
Լինզ Էքսպրեսս Դալմա Գարդեն մոլլ,Կոնտակտային ոսպնյակներ,12:00 - 22:00,https://www.menu.am/restaurant/linz-express.html,0
Արմ Հուկա,Նարգիլե և Սիգար,11:00 - 05:00,https://www.menu.am/restaurant/armhookah.html,5
Գուրման Ֆուդ,Եվրոպական,09:00 - 01:00,https://www.menu.am/restaurant/gurman-salad.html,2.5
Էն Սվիթ Ստուդիո,Քաղցրավենիք,10:00 - 20:00,https://www.menu.am/restaurant/n-sweet-studio.html,0
Ֆլորանս,Ծաղիկներ և Փուչիկներ,Փակ է,https://www.menu.am/restaurant/florans-flower.html,0
Սուշի Վոկ,Ճապոնական,10:30 - 23:30,https://www.menu.am/restaurant/sushi-wok.html,4.3
ԲիԷլլա,"Թարմ միս և մսամթերք, Կիսաֆաբրիկատներ",09:00 - 18:00,https://www.menu.am/restaurant/biella.html,0
Թոնրատուն Ոսկե Աքաղաղ,Հայկական,10:00 - 23:00,https://www.menu.am/restaurant/tonratun-voske-aqaghagh.html,4
Պնդուկ,Գաստրոնոմ,Փակ է,https://www.menu.am/restaurant/pnduk.html,0
Սվարովսկի,ՆՎԵՐ ՔԱՐՏԵՐ,11:00 - 20:00,https://www.menu.am/restaurant/swarovski-gift-card.html,0
Մագա Ծաղկի Սրահ,Ծաղիկներ և Փուչիկներ,24 ժամ,https://www.menu.am/restaurant/maga-flower-boutique.html,4.1
Էյֆել,ՆՎԵՐ ՔԱՐՏԵՐ,10:00 - 20:00,https://www.menu.am/restaurant/eiffel-gift-cards.html,0
Ալֆա Ֆարմ Նվեր քարտ,ՆՎԵՐ ՔԱՐՏԵՐ,24 ժամ,https://www.menu.am/restaurant/alfa-pharm-gift-card.html,1
Դառգետ,Եվրոպական,11:00 - 23:00,https://www.menu.am/restaurant/dargett.html,4.4
Դը Քորներ Սրճարան,Եվրոպական,10:00 - 21:00,https://www.menu.am/restaurant/the-corner.html,5
Anahit.am,Ծաղիկներ և Փուչիկներ,Փակ է,https://www.menu.am/restaurant/anahitam.html,3.4
Փարթի Թայմ,Ծաղիկներ և Փուչիկներ,10:00 - 18:00,https://www.menu.am/restaurant/party-time.html,5
Սեգաֆրեդո,"Եվրոպական, Սուրճ և Թեյ, Իտալական",10:00 - 20:00,https://www.menu.am/restaurant/segafredo-zanetti.html,5
Արտ Լանչ,"Լանչ, Հայկական",11:00 - 17:00,https://www.menu.am/restaurant/art-lunch.html,4.4
Հին Ջրվեժ,Հայկական,10:00 - 23:00,https://www.menu.am/restaurant/old-jrvezh.html,3.4
Լիփ Լիք Քեյքս,Քաղցրավենիք,10:00 - 20:00,https://www.menu.am/restaurant/lip-lick-cakes.html,4
Սալատ Հաուս,"Կիսաֆաբրիկատներ, Լանչ",10:00 - 21:00,https://www.menu.am/restaurant/salad-house.html,3
Արաքս Քեյք,Քաղցրավենիք,10:00 - 20:00,https://www.menu.am/restaurant/araks-cake.html,2.8
Ինորի,ՆՎԵՐ ՔԱՐՏԵՐ,11:00 - 23:00,https://www.menu.am/restaurant/inori-gift-card.html,0
Սվոչ,ՆՎԵՐ ՔԱՐՏԵՐ,10:00 - 20:00,https://www.menu.am/restaurant/swatch-gift-cards.html,0
Բրիոշ,"Եվրոպական, Ֆրանսիական",09:00 - 00:00,https://www.menu.am/restaurant/brioche.html,4.5
Վասաբի Ֆաստ Ֆուդ Դալմա մոլլ,"Ասիական, Ճապոնական",10:00 - 22:00,https://www.menu.am/restaurant/wasabi-noodles-rice-and-more.html,3.4
