,Vacancies,Companies,Deadlines,Locations,Individual Pages
462,Engineer-Designer,Melinet,05 July 2020,Yerevan,https://staff.am/en/engineer-designer
463,UI Developer,Synergy International Systems,08 July 2020,Yerevan,https://staff.am/en/ui-developer-44
464,WordPress Developer,Web Projects,08 July 2020,Yerevan,https://staff.am/en/wordpress-developer-83
465,IT Project Manager,Brainstorm Technologies,08 July 2020,Yerevan,https://staff.am/en/it-project-manager-77
466,Senior React.js Developer - UCRAFT,SoftConstruct,08 July 2020,Yerevan,https://staff.am/en/senior-reactjs-developer-ucraft
467,Շինարարության պատասխանատու,ASEDL LLC,08 July 2020,Yerevan,https://staff.am/en/sinararutyan-patasxanatu-1
468,IT specialist,ASEDL LLC,08 July 2020,Yerevan,https://staff.am/en/it-specialist-48
469,Active sales specialist,HouseNet,08 July 2020,Armavir,https://staff.am/en/active-sales-specialist-23
470,English Speaking IT Support Specialist,Envirotech,07 July 2020,Yerevan,https://staff.am/en/english-speaking-it-support-specialist-1
471,Senior React Engineer,Pangea Cloud Solutions,07 July 2020,Yerevan,https://staff.am/en/senior-react-engineer-28
472,Հանրային ծառայությունների և ադմինիստրատիվ աշխատանքների համակարգող,Digitain ,06 July 2020,Yerevan,https://staff.am/en/hanrayin-carayutyunneri-ev-administrativ-asxatankneri-hamakargog
473,Marketing and communications manager,Out Of Office Design,06 July 2020,Yerevan,https://staff.am/en/marketing-and-communications-manager
474,Agile Project Manager ,Intelligent Digital Technologies,06 July 2020,Yerevan,https://staff.am/en/agile-project-manager-7
475,Լեռնային և շինարարական տեխնիկայի սպասարկման և վերանորոգման մասնագետի (մեխանիկ),«ԻԿՕ Մաշիների» ՍՊԸ,05 July 2020,Yerevan,https://staff.am/en/lernayin-ev-sinararakan-texnikayi-spasarkman-ev-veranorogman-masnageti-mexanik
476,Node.js Developer ,ՋՈՅՆԹՈՒՀԱՅՐ ,05 July 2020,Yerevan,https://staff.am/en/nodejs-developer-72
477,Civil Engineer/ AutoCAD Master ,AAB Construction,05 July 2020,Yerevan,https://staff.am/en/civil-engineer-autocad-master
478,SALES AND MARKETING ASSOCIATE,WineWorks,05 July 2020,Yerevan,https://staff.am/en/sales-and-marketing-associate
479,Android Developer,IYC technologies,05 July 2020,Yerevan,https://staff.am/en/android-developer-239
480,Head of digital marketing department,ALPHA FOOD SERVICE LLC,05 July 2020,Yerevan,https://staff.am/en/head-of-digital-marketing-department-4
481,Mid/Senior C# developer,Digitain ,01 July 2020,Yerevan,https://staff.am/en/midsenior-c-developer-37
482,Senior C# .Net/.Net Core Developer,Soft Vision LLC,05 July 2020,Yerevan,https://staff.am/en/senior-c-netnet-core-developer
483,Project Manager Assistant/Civil Engineer ,AAB Construction,05 July 2020,Yerevan,https://staff.am/en/project-manager-assistant-7
484,Senior UI/UX Designer,Webb Fontaine Holding LLC,05 July 2020,Yerevan,https://staff.am/en/senior-uiux-designer-45
485,Head of Excellence Center,Webb Fontaine Holding LLC,05 July 2020,Yerevan,https://staff.am/en/head-of-excellence-center
486,Վաճառքի օպերատոր,Մեգնա ՍՊԸ,05 July 2020,Yerevan,https://staff.am/en/vacarki-operator-3
487,HR specialst,Telecom,05 July 2020,Yerevan,https://staff.am/en/hr-specialst-1
488,Ավտոմատ համակարգերի շահագործման մասնագետ/ էլեկտրոնշիկ,Armenian Tobacco Company,05 July 2020,Abovyan,https://staff.am/en/avtomat-hamakargeri-sahagorcman-masnaget-elektronsik-6
489,Sales Manager,alvard vardanyan ltd,05 July 2020,Yerevan,https://staff.am/en/sales-manager-397
490,IOS Developer,Intelligent Digital Technologies,05 July 2020,Yerevan,https://staff.am/en/ios-developer-218
491,Spanish-Speaking Research Intern,Polixis,05 July 2020,Yerevan,https://staff.am/en/spanish-speaking-research-intern-1
492,QA Engineer,Easy Pay LLC,05 July 2020,Yerevan,https://staff.am/en/qa-engineer-490
493,Frontend Team Lead,DataOwl,05 July 2020,Yerevan,https://staff.am/en/frontend-team-lead
494,UI/UX DESIGNER,Concept Studio,05 July 2020,Yerevan,https://staff.am/en/uiux-designer-383
495,QA Engineer,DataOwl,05 July 2020,Yerevan,https://staff.am/en/qa-engineer-496
496,Senior PHP developer,RedKiteLLC,05 July 2020,Yerevan,https://staff.am/en/senior-php-developer-63
497,Русскоязычный специалист Call-центра,Telecom,05 July 2020,Yerevan,https://staff.am/en/russkoazycnyj-specialist-call-centra-1
498,Product Designer ,ServiceTitan,05 July 2020,Yerevan,https://staff.am/en/product-designer-23
499,HR management and documentation junior specialist,Ucom CJSC,05 July 2020,Yerevan,https://staff.am/en/hr-management-and-documentation-junior-specialist
500,DevOps Engineer/Team Lead,FLUX Technologies,05 July 2020,Yerevan,https://staff.am/en/devops-engineer-237
501,Կորպորատիվ վաճառքի մասնագետ,EcoVille LLC,05 July 2020,Yerevan,https://staff.am/en/korporativ-vacarki-masnaget
502,Senior JavaScript Developer,FLUX Technologies,05 July 2020,Yerevan,https://staff.am/en/senior-javascript-developer-52
503,Manager cashier,Sport Fit,04 July 2020,Yerevan,https://staff.am/en/manager-cashier-2
504,Graphic Designer,10Web,04 July 2020,Yerevan,https://staff.am/en/graphic-designer-360
505,Senior C++ Engineer (m/f/d) Tensor,TeamViewer Armenia,04 July 2020,Yerevan,https://staff.am/en/senior-c-engineer-mfd-tensor-12
506,C++ Engineer (m/f/d) Remote Management,TeamViewer Armenia,04 July 2020,Yerevan,https://staff.am/en/c-engineer-mfd-remote-management-10
507,Senior Full Stack Developer (m/f/d) Pilot,TeamViewer Armenia,04 July 2020,Yerevan,https://staff.am/en/senior-full-stack-developer-mfd-pilot-12
508,Senior C++ Developer (m/f/d) Pilot,TeamViewer Armenia,04 July 2020,Yerevan,https://staff.am/en/senior-c-developer-mfd-pilot-16
509,Senior Test Automation Engineer (m/f/d) IoT,TeamViewer Armenia,04 July 2020,Yerevan,https://staff.am/en/senior-test-automation-engineer-mfd-iot-9
510,Senior Software Engineer C++(m/f/d) Core,TeamViewer Armenia,04 July 2020,Yerevan,https://staff.am/en/senior-c-engineer-mfd-hayq-16
511,Վարորդ (ուղևորաբեռնատար մեքենայով),Ucom CJSC,04 July 2020,Yerevan,https://staff.am/en/driver-25
512,Կահույքագործ-բանվոր,Էդ-Սպո ՍՊԸ (beko),04 July 2020,Yerevan,https://staff.am/en/kahuykagorc-banvor
513,Business Development Executive,Earlyone,04 July 2020,Yerevan,https://staff.am/en/business-development-executive-16
514,Insight Analyst,National Instruments AM LLC,04 July 2020,Yerevan,https://staff.am/en/insight-analyst
515,Computer Vision Engineer,Imea Systems,04 July 2020,Yerevan,https://staff.am/en/computer-vision-enginee
516,Գործառնական ղեկավար,Garage Masters' Mall,04 July 2020,Yerevan,https://staff.am/en/gorcarnakan-gekavar
517,Senior Node.js Developer,Imea Systems,04 July 2020,Yerevan,https://staff.am/en/senior-nodejs-developer-57
518,Delivery Partner Project Manager,National Instruments AM LLC,04 July 2020,Yerevan,https://staff.am/en/delivery-partner-project-manager
519,Content manager,ALPHA FOOD SERVICE LLC,04 July 2020,Yerevan,https://staff.am/en/content-manager-34
520,Systems Engineer,National Instruments AM LLC,04 July 2020,Yerevan,https://staff.am/en/systems-engineer-28
521,Customer Support Advocate,ServiceTitan,04 July 2020,Yerevan,https://staff.am/en/customer-support-advocate-6
522,Motion Graphic Designer,SoftConstruct,04 July 2020,Yerevan,https://staff.am/en/motion-graphic-designer-7
523,UI/UX Designer,SoftConstruct,04 July 2020,Yerevan,https://staff.am/en/uiux-designer-380
524,Hardware Design Engineer,Heltun Solutions LLC,04 July 2020,Yerevan,https://staff.am/en/hardware-design-engineer-3
525,Ներքին դիտարկումների մասնագետ,Իդրամ ՍՊԸ,03 July 2020,Yerevan,https://staff.am/en/nerkin-ditarkumneri-masnaget
526,Mid iOS Developer,MagicDevs LTD,03 July 2020,Yerevan,https://staff.am/en/mid-ios-developer
527,Mid/Senior Android Developer,MagicDevs LTD,03 July 2020,Yerevan,https://staff.am/en/senior-android-developer-98
528,Product Owner,Digitain ,03 July 2020,Yerevan,https://staff.am/en/product-owner-133
529,UI/UX Designer ,Ucom CJSC,03 July 2020,Yerevan,https://staff.am/en/uiux-designer-374
530,Accountant,ՖինԹաքս Ըքաունթինգ,03 July 2020,Yerevan,https://staff.am/en/accountant-447
531,Data Specialist / QA Engineer,Krisp,03 July 2020,Yerevan,https://staff.am/en/data-specialist-qa-engineer-1
532,Senior C# Developer,CQGI MA,03 July 2020,Yerevan,https://staff.am/en/senior-c-developer-122
533,ՍՆՆԴԻ ՍՊԱՍԱՐԿՄԱՆ ՍՐԱՀԻ ՄԵՆԵՋԵՐ,Art Lunch,03 July 2020,Yerevan,https://staff.am/en/snndi-spasarkman-srahi-menejer
534,Senior .Net Developer,Intelligent Digital Technologies,03 July 2020,Yerevan,https://staff.am/en/senior-net-developer-146
535,Technical writer - Contract,ServiceTitan,03 July 2020,Yerevan,https://staff.am/en/technical-writer-74
536, IT Business Analyst ,Praemium RA LLC,02  July 2020,Yerevan,https://staff.am/en/it-business-analyst-36
537,QA Engineer,WEBIHUB,02 July 2020,Yerevan,https://staff.am/en/qa-engineer-493
538,Full-stack developer,Pragmatix,02 July 2020,Yerevan,https://staff.am/en/full-stack-developer-111
539,Full Stack JS Developer,SoftConstruct,02 July 2020,Yerevan,https://staff.am/en/full-stack-js-developer-36
540,PMO Specialist,FMD K&L EUROPE,02 July 2020,Yerevan,https://staff.am/en/project-management-specialist
541,Applications Engineer,National Instruments AM LLC,02 July 2020,Yerevan,https://staff.am/en/applications-engineer-6
542,Java Developer,Routetitan,02 July 2020,Yerevan,https://staff.am/en/java-dveveloper
543,Junior Laravel developer,HackTech LLC,02  July 2020,Yerevan,https://staff.am/en/junior-laravel-developer-6
544,Database Administrator,BIVAC Armenia CJSC,02 July 2020,Yerevan,https://staff.am/en/database-administrator-83
545,Junior accountant/Operator 1C,ՇԻՆԱՐԱՐԱԿԱՆ ՍՊԸ,01 July 2020,Yerevan,https://staff.am/en/junior-accountantoperator-1c-6
546,Service Manager,IMEX GROUP,01 July 2020,Yerevan,https://staff.am/en/service-manager-7
547,Tech Lead & Senior Software Engineer,Pangea Cloud Solutions,01 July 2020,Yerevan,https://staff.am/en/tech-lead-senior-software-engineer
548,English Speaking Sales/Support Representative,Envirotech,01 July 2020,Yerevan,https://staff.am/en/english-speaking-sales-representative-20
549,Manager,Pharmastar LLC,01 July 2020,Yerevan,https://staff.am/en/manager-39
550,Scrum master,Intelligent Digital Technologies,01 July 2020,Yerevan,https://staff.am/en/scrum-master-90
551,Business Development Executive,SFL,01 July 2020,Yerevan,https://staff.am/en/business-development-executive-10
552,Տնօրենի օգնական-գործավարուհի,Mikshin,01 July 2020,Yerevan,https://staff.am/en/tnoreni-ognakan-gorcavaruhi
553,Senior Software Engineer ,ServiceTitan,01 July 2020,Yerevan,https://staff.am/en/senior-software-engineer-optimization-algorithms-12
554,React Native developer,Locator CJSC,01 July 2020,Yerevan,https://staff.am/en/react-native-developer-62
555,"Engineering Manager, Java Microservices & Data",DISQO,03 July 2020,Yerevan,https://staff.am/en/engineering-manager-java-microservices-data-6
556,Senior Software Engineer,ServiceTitan,03 July 2020,Yerevan,https://staff.am/en/senior-software-engineer-76
557,"Senior Software Engineer, Front-End",ServiceTitan,03 July 2020,Yerevan,https://staff.am/en/sr-software-engineer-front-end-27
558,Senior Site Reliability Engineer,ServiceTitan,15 July 2020,Yerevan,https://staff.am/en/senior-site-reliability-engineer
559,Lead Software Engineer,ServiceTitan,05 July 2020,Yerevan,https://staff.am/en/lead-software-engineer
560,QA Automation Engineer,ServiceTitan,05 July 2020,Yerevan,https://staff.am/en/qa-automation-engineer-91
